instance_type,physical_processor,vcpu,memory,gpu,gpu_memory
m6in.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,512.0,0.0,0.0
m6in.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,64.0,0.0,0.0
m6in.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,128.0,0.0,0.0
m6in.large,Intel Xeon 8375C (Ice Lake),2.0,8.0,0.0,0.0
m6in.metal,Intel Xeon 8375C (Ice Lake),128.0,512.0,0.0,0.0
m6in.xlarge,Intel Xeon 8375C (Ice Lake),4.0,16.0,0.0,0.0
m7a.12xlarge,AMD EPYC 9R14 Processor,48.0,192.0,0.0,0.0
m7a.16xlarge,AMD EPYC 9R14 Processor,64.0,256.0,0.0,0.0
m7a.24xlarge,AMD EPYC 9R14 Processor,96.0,384.0,0.0,0.0
m7a.2xlarge,AMD EPYC 9R14 Processor,8.0,32.0,0.0,0.0
m7a.32xlarge,AMD EPYC 9R14 Processor,128.0,512.0,0.0,0.0
m7a.48xlarge,AMD EPYC 9R14 Processor,192.0,768.0,0.0,0.0
m7a.4xlarge,AMD EPYC 9R14 Processor,16.0,64.0,0.0,0.0
m7a.8xlarge,AMD EPYC 9R14 Processor,32.0,128.0,0.0,0.0
m7a.large,AMD EPYC 9R14 Processor,2.0,8.0,0.0,0.0
m7a.medium,AMD EPYC 9R14 Processor,1.0,4.0,0.0,0.0
m7a.metal-48xl,AMD EPYC 9R14 Processor,192.0,768.0,0.0,0.0
m7a.xlarge,AMD EPYC 9R14 Processor,4.0,16.0,0.0,0.0
m7g.12xlarge,AWS Graviton3 Processor,48.0,192.0,0.0,0.0
m7g.16xlarge,AWS Graviton3 Processor,64.0,256.0,0.0,0.0
m7g.2xlarge,AWS Graviton3 Processor,8.0,32.0,0.0,0.0
m7g.4xlarge,AWS Graviton3 Processor,16.0,64.0,0.0,0.0
m7g.8xlarge,AWS Graviton3 Processor,32.0,128.0,0.0,0.0
m7g.large,AWS Graviton3 Processor,2.0,8.0,0.0,0.0
m7g.medium,AWS Graviton3 Processor,1.0,4.0,0.0,0.0
m7g.metal,AWS Graviton3 Processor,64.0,256.0,0.0,0.0
m7g.xlarge,AWS Graviton3 Processor,4.0,16.0,0.0,0.0
m7gd.12xlarge,AWS Graviton3 Processor,48.0,192.0,0.0,0.0
m7gd.16xlarge,AWS Graviton3 Processor,64.0,256.0,0.0,0.0
m7gd.2xlarge,AWS Graviton3 Processor,8.0,32.0,0.0,0.0
m7gd.4xlarge,AWS Graviton3 Processor,16.0,64.0,0.0,0.0
m7gd.8xlarge,AWS Graviton3 Processor,32.0,128.0,0.0,0.0
m7gd.large,AWS Graviton3 Processor,2.0,8.0,0.0,0.0
m7gd.medium,AWS Graviton3 Processor,1.0,4.0,0.0,0.0
m7gd.metal,AWS Graviton3 Processor,64.0,256.0,0.0,0.0
m7gd.xlarge,AWS Graviton3 Processor,4.0,16.0,0.0,0.0
m7i-flex.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,192.0,0.0,0.0
m7i-flex.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,256.0,0.0,0.0
m7i-flex.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,32.0,0.0,0.0
m7i-flex.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,64.0,0.0,0.0
m7i-flex.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,128.0,0.0,0.0
m7i-flex.large,Intel Xeon Scalable (Sapphire Rapids),2.0,8.0,0.0,0.0
m7i-flex.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,16.0,0.0,0.0
m7i.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,192.0,0.0,0.0
m7i.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,256.0,0.0,0.0
m7i.24xlarge,Intel Xeon Scalable (Sapphire Rapids),96.0,384.0,0.0,0.0
m7i.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,32.0,0.0,0.0
m7i.48xlarge,Intel Xeon Scalable (Sapphire Rapids),192.0,768.0,0.0,0.0
m7i.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,64.0,0.0,0.0
m7i.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,128.0,0.0,0.0
m7i.large,Intel Xeon Scalable (Sapphire Rapids),2.0,8.0,0.0,0.0
m7i.metal-24xl,Intel Xeon Scalable (Sapphire Rapids),96.0,384.0,0.0,0.0
m7i.metal-48xl,Intel Xeon Scalable (Sapphire Rapids),192.0,768.0,0.0,0.0
m7i.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,16.0,0.0,0.0
m8g.12xlarge,AWS Graviton4 Processor,48.0,192.0,0.0,0.0
m8g.16xlarge,AWS Graviton4 Processor,64.0,256.0,0.0,0.0
m8g.24xlarge,AWS Graviton4 Processor,96.0,384.0,0.0,0.0
m8g.2xlarge,AWS Graviton4 Processor,8.0,32.0,0.0,0.0
m8g.48xlarge,AWS Graviton4 Processor,192.0,768.0,0.0,0.0
m8g.4xlarge,AWS Graviton4 Processor,16.0,64.0,0.0,0.0
m8g.8xlarge,AWS Graviton4 Processor,32.0,128.0,0.0,0.0
m8g.large,AWS Graviton4 Processor,2.0,8.0,0.0,0.0
m8g.medium,AWS Graviton4 Processor,1.0,4.0,0.0,0.0
m8g.metal-24xl,AWS Graviton4 Processor,96.0,384.0,0.0,0.0
m8g.metal-48xl,AWS Graviton4 Processor,192.0,768.0,0.0,0.0
m8g.xlarge,AWS Graviton4 Processor,4.0,16.0,0.0,0.0
mac1.metal,Intel Core i7-8700B CPU,12.0,32.0,0.0,0.0
mac2-m1ultra.metal,Apple silicon M1 Ultra,20.0,128.0,0.0,0.0
mac2-m2.metal,Apple M2 Chip,8.0,24.0,0.0,0.0
mac2-m2pro.metal,Apple M2 Pro,12.0,32.0,0.0,0.0
mac2.metal,"Apple M1 chip with 8-core CPU, 8-core GPU, and 16-core Neural Engine",8.0,16.0,0.0,0.0
p2.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,732.0,16.0,0.0
p2.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,488.0,8.0,0.0
p2.xlarge,Intel Xeon E5-2686 v4 (Broadwell),4.0,61.0,1.0,0.0
p3.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,488.0,8.0,128.0
p3.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),8.0,61.0,1.0,16.0
p3.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,244.0,4.0,64.0
p3dn.24xlarge,Intel Xeon Platinum 8175 (Skylake),96.0,768.0,8.0,256.0
p4d.24xlarge,Intel Xeon Platinum 8275L,96.0,1152.0,8.0,320.0
p4de.24xlarge,Intel Xeon Platinum 8275L,96.0,1152.0,8.0,640.0
p5.48xlarge,AMD EPYC 7R13 Processor,192.0,2048.0,8.0,640.0
p5e.48xlarge,AMD EPYC 7R13 Processor,192.0,2048.0,8.0,1128.0
p5en.48xlarge,Intel Xeon Scalable (Sapphire Rapids),192.0,2048.0,8.0,141.0
r3.2xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),8.0,61.0,0.0,0.0
r3.4xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),16.0,122.0,0.0,0.0
r3.8xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),32.0,244.0,0.0,0.0
r3.large,Intel Xeon E5-2670 v2 (Ivy Bridge),2.0,15.25,0.0,0.0
r3.xlarge,Intel Xeon E5-2670 v2 (Ivy Bridge),4.0,30.5,0.0,0.0
r4.16xlarge,Intel Xeon E5-2686 v4 (Broadwell),64.0,488.0,0.0,0.0
r4.2xlarge,Intel Xeon E5-2686 v4 (Broadwell),8.0,61.0,0.0,0.0
r4.4xlarge,Intel Xeon E5-2686 v4 (Broadwell),16.0,122.0,0.0,0.0
r4.8xlarge,Intel Xeon E5-2686 v4 (Broadwell),32.0,244.0,0.0,0.0
r4.large,Intel Xeon E5-2686 v4 (Broadwell),2.0,15.25,0.0,0.0
r4.xlarge,Intel Xeon E5-2686 v4 (Broadwell),4.0,30.5,0.0,0.0
r5.12xlarge,Intel Xeon Platinum 8175,48.0,384.0,0.0,0.0
r5.16xlarge,Intel Xeon Platinum 8175,64.0,512.0,0.0,0.0
r5.24xlarge,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
r5.2xlarge,Intel Xeon Platinum 8175,8.0,64.0,0.0,0.0
r5.4xlarge,Intel Xeon Platinum 8175,16.0,128.0,0.0,0.0
r5.8xlarge,Intel Xeon Platinum 8175,32.0,256.0,0.0,0.0
r5.large,Intel Xeon Platinum 8175,2.0,16.0,0.0,0.0
r5.metal,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
r5.xlarge,Intel Xeon Platinum 8175,4.0,32.0,0.0,0.0
r5a.12xlarge,AMD EPYC 7571,48.0,384.0,0.0,0.0
r5a.16xlarge,AMD EPYC 7571,64.0,512.0,0.0,0.0
r5a.24xlarge,AMD EPYC 7571,96.0,768.0,0.0,0.0
r5a.2xlarge,AMD EPYC 7571,8.0,64.0,0.0,0.0
r5a.4xlarge,AMD EPYC 7571,16.0,128.0,0.0,0.0
r5a.8xlarge,AMD EPYC 7571,32.0,256.0,0.0,0.0
r5a.large,AMD EPYC 7571,2.0,16.0,0.0,0.0
r5a.xlarge,AMD EPYC 7571,4.0,32.0,0.0,0.0
r5ad.12xlarge,AMD EPYC 7571,48.0,384.0,0.0,0.0
r5ad.16xlarge,AMD EPYC 7571,64.0,512.0,0.0,0.0
r5ad.24xlarge,AMD EPYC 7571,96.0,768.0,0.0,0.0
r5ad.2xlarge,AMD EPYC 7571,8.0,64.0,0.0,0.0
r5ad.4xlarge,AMD EPYC 7571,16.0,128.0,0.0,0.0
r5ad.8xlarge,AMD EPYC 7571,32.0,256.0,0.0,0.0
r5ad.large,AMD EPYC 7571,2.0,16.0,0.0,0.0
r5ad.xlarge,AMD EPYC 7571,4.0,32.0,0.0,0.0
r5b.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),48.0,384.0,0.0,0.0
r5b.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64.0,512.0,0.0,0.0
r5b.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5b.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),8.0,64.0,0.0,0.0
r5b.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),16.0,128.0,0.0,0.0
r5b.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),32.0,256.0,0.0,0.0
r5b.large,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,0.0,0.0
r5b.metal,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5b.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,0.0,0.0
r5d.12xlarge,Intel Xeon Platinum 8175,48.0,384.0,0.0,0.0
r5d.16xlarge,Intel Xeon Platinum 8175,64.0,512.0,0.0,0.0
r5d.24xlarge,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
r5d.2xlarge,Intel Xeon Platinum 8175,8.0,64.0,0.0,0.0
r5d.4xlarge,Intel Xeon Platinum 8175,16.0,128.0,0.0,0.0
r5d.8xlarge,Intel Xeon Platinum 8175,32.0,256.0,0.0,0.0
r5d.large,Intel Xeon Platinum 8175,2.0,16.0,0.0,0.0
r5d.metal,Intel Xeon Platinum 8175,96.0,768.0,0.0,0.0
r5d.xlarge,Intel Xeon Platinum 8175,4.0,32.0,0.0,0.0
r5dn.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),48.0,384.0,0.0,0.0
r5dn.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64.0,512.0,0.0,0.0
r5dn.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5dn.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),8.0,64.0,0.0,0.0
r5dn.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),16.0,128.0,0.0,0.0
r5dn.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),32.0,256.0,0.0,0.0
r5dn.large,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,0.0,0.0
r5dn.metal,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5dn.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,0.0,0.0
r5n.12xlarge,Intel Xeon Platinum 8259 (Cascade Lake),48.0,384.0,0.0,0.0
r5n.16xlarge,Intel Xeon Platinum 8259 (Cascade Lake),64.0,512.0,0.0,0.0
r5n.24xlarge,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5n.2xlarge,Intel Xeon Platinum 8259 (Cascade Lake),8.0,64.0,0.0,0.0
r5n.4xlarge,Intel Xeon Platinum 8259 (Cascade Lake),16.0,128.0,0.0,0.0
r5n.8xlarge,Intel Xeon Platinum 8259 (Cascade Lake),32.0,256.0,0.0,0.0
r5n.large,Intel Xeon Platinum 8259 (Cascade Lake),2.0,16.0,0.0,0.0
r5n.metal,Intel Xeon Platinum 8259 (Cascade Lake),96.0,768.0,0.0,0.0
r5n.xlarge,Intel Xeon Platinum 8259 (Cascade Lake),4.0,32.0,0.0,0.0
r6a.12xlarge,AMD EPYC 7R13 Processor,48.0,384.0,0.0,0.0
r6a.16xlarge,AMD EPYC 7R13 Processor,64.0,512.0,0.0,0.0
r6a.24xlarge,AMD EPYC 7R13 Processor,96.0,768.0,0.0,0.0
r6a.2xlarge,AMD EPYC 7R13 Processor,8.0,64.0,0.0,0.0
r6a.32xlarge,AMD EPYC 7R13 Processor,128.0,1024.0,0.0,0.0
r6a.48xlarge,AMD EPYC 7R13 Processor,192.0,1536.0,0.0,0.0
r6a.4xlarge,AMD EPYC 7R13 Processor,16.0,128.0,0.0,0.0
r6a.8xlarge,AMD EPYC 7R13 Processor,32.0,256.0,0.0,0.0
r6a.large,AMD EPYC 7R13 Processor,2.0,16.0,0.0,0.0
r6a.metal,AMD EPYC 7R13 Processor,192.0,1536.0,0.0,0.0
r6a.xlarge,AMD EPYC 7R13 Processor,4.0,32.0,0.0,0.0
r6g.12xlarge,AWS Graviton2 Processor,48.0,384.0,0.0,0.0
r6g.16xlarge,AWS Graviton2 Processor,64.0,512.0,0.0,0.0
r6g.2xlarge,AWS Graviton2 Processor,8.0,64.0,0.0,0.0
r6g.4xlarge,AWS Graviton2 Processor,16.0,128.0,0.0,0.0
r6g.8xlarge,AWS Graviton2 Processor,32.0,256.0,0.0,0.0
r6g.large,AWS Graviton2 Processor,2.0,16.0,0.0,0.0
r6g.medium,AWS Graviton2 Processor,1.0,8.0,0.0,0.0
r6g.metal,AWS Graviton2 Processor,64.0,512.0,0.0,0.0
r6g.xlarge,AWS Graviton2 Processor,4.0,32.0,0.0,0.0
r6gd.12xlarge,AWS Graviton2 Processor,48.0,384.0,0.0,0.0
r6gd.16xlarge,AWS Graviton2 Processor,64.0,512.0,0.0,0.0
r6gd.2xlarge,AWS Graviton2 Processor,8.0,64.0,0.0,0.0
r6gd.4xlarge,AWS Graviton2 Processor,16.0,128.0,0.0,0.0
r6gd.8xlarge,AWS Graviton2 Processor,32.0,256.0,0.0,0.0
r6gd.large,AWS Graviton2 Processor,2.0,16.0,0.0,0.0
r6gd.medium,AWS Graviton2 Processor,1.0,8.0,0.0,0.0
r6gd.metal,AWS Graviton2 Processor,64.0,512.0,0.0,0.0
r6gd.xlarge,AWS Graviton2 Processor,4.0,32.0,0.0,0.0
r6i.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,384.0,0.0,0.0
r6i.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,512.0,0.0,0.0
r6i.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,768.0,0.0,0.0
r6i.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,64.0,0.0,0.0
r6i.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6i.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,128.0,0.0,0.0
r6i.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,256.0,0.0,0.0
r6i.large,Intel Xeon 8375C (Ice Lake),2.0,16.0,0.0,0.0
r6i.metal,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6i.xlarge,Intel Xeon 8375C (Ice Lake),4.0,32.0,0.0,0.0
r6id.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,384.0,0.0,0.0
r6id.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,512.0,0.0,0.0
r6id.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,768.0,0.0,0.0
r6id.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,64.0,0.0,0.0
r6id.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6id.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,128.0,0.0,0.0
r6id.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,256.0,0.0,0.0
r6id.large,Intel Xeon 8375C (Ice Lake),2.0,16.0,0.0,0.0
r6id.metal,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6id.xlarge,Intel Xeon 8375C (Ice Lake),4.0,32.0,0.0,0.0
r6idn.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,384.0,0.0,0.0
r6idn.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,512.0,0.0,0.0
r6idn.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,768.0,0.0,0.0
r6idn.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,64.0,0.0,0.0
r6idn.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6idn.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,128.0,0.0,0.0
r6idn.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,256.0,0.0,0.0
r6idn.large,Intel Xeon 8375C (Ice Lake),2.0,16.0,0.0,0.0
r6idn.metal,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6idn.xlarge,Intel Xeon 8375C (Ice Lake),4.0,32.0,0.0,0.0
r6in.12xlarge,Intel Xeon 8375C (Ice Lake),48.0,384.0,0.0,0.0
r6in.16xlarge,Intel Xeon 8375C (Ice Lake),64.0,512.0,0.0,0.0
r6in.24xlarge,Intel Xeon 8375C (Ice Lake),96.0,768.0,0.0,0.0
r6in.2xlarge,Intel Xeon 8375C (Ice Lake),8.0,64.0,0.0,0.0
r6in.32xlarge,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6in.4xlarge,Intel Xeon 8375C (Ice Lake),16.0,128.0,0.0,0.0
r6in.8xlarge,Intel Xeon 8375C (Ice Lake),32.0,256.0,0.0,0.0
r6in.large,Intel Xeon 8375C (Ice Lake),2.0,16.0,0.0,0.0
r6in.metal,Intel Xeon 8375C (Ice Lake),128.0,1024.0,0.0,0.0
r6in.xlarge,Intel Xeon 8375C (Ice Lake),4.0,32.0,0.0,0.0
r7a.12xlarge,AMD EPYC 9R14 Processor,48.0,384.0,0.0,0.0
r7a.16xlarge,AMD EPYC 9R14 Processor,64.0,512.0,0.0,0.0
r7a.24xlarge,AMD EPYC 9R14 Processor,96.0,768.0,0.0,0.0
r7a.2xlarge,AMD EPYC 9R14 Processor,8.0,64.0,0.0,0.0
r7a.32xlarge,AMD EPYC 9R14 Processor,128.0,1024.0,0.0,0.0
r7a.48xlarge,AMD EPYC 9R14 Processor,192.0,1536.0,0.0,0.0
r7a.4xlarge,AMD EPYC 9R14 Processor,16.0,128.0,0.0,0.0
r7a.8xlarge,AMD EPYC 9R14 Processor,32.0,256.0,0.0,0.0
r7a.large,AMD EPYC 9R14 Processor,2.0,16.0,0.0,0.0
r7a.medium,AMD EPYC 9R14 Processor,1.0,8.0,0.0,0.0
r7a.metal-48xl,AMD EPYC 9R14 Processor,192.0,1536.0,0.0,0.0
r7a.xlarge,AMD EPYC 9R14 Processor,4.0,32.0,0.0,0.0
r7g.12xlarge,AWS Graviton3 Processor,48.0,384.0,0.0,0.0
r7g.16xlarge,AWS Graviton3 Processor,64.0,512.0,0.0,0.0
r7g.2xlarge,AWS Graviton3 Processor,8.0,64.0,0.0,0.0
r7g.4xlarge,AWS Graviton3 Processor,16.0,128.0,0.0,0.0
r7g.8xlarge,AWS Graviton3 Processor,32.0,256.0,0.0,0.0
r7g.large,AWS Graviton3 Processor,2.0,16.0,0.0,0.0
r7g.medium,AWS Graviton3 Processor,1.0,8.0,0.0,0.0
r7g.metal,AWS Graviton3 Processor,64.0,512.0,0.0,0.0
r7g.xlarge,AWS Graviton3 Processor,4.0,32.0,0.0,0.0
r7gd.12xlarge,AWS Graviton3 Processor,48.0,384.0,0.0,0.0
r7gd.16xlarge,AWS Graviton3 Processor,64.0,512.0,0.0,0.0
r7gd.2xlarge,AWS Graviton3 Processor,8.0,64.0,0.0,0.0
r7gd.4xlarge,AWS Graviton3 Processor,16.0,128.0,0.0,0.0
r7gd.8xlarge,AWS Graviton3 Processor,32.0,256.0,0.0,0.0
r7gd.large,AWS Graviton3 Processor,2.0,16.0,0.0,0.0
r7gd.medium,AWS Graviton3 Processor,1.0,8.0,0.0,0.0
r7gd.metal,AWS Graviton3 Processor,64.0,512.0,0.0,0.0
r7gd.xlarge,AWS Graviton3 Processor,4.0,32.0,0.0,0.0
r7i.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,384.0,0.0,0.0
r7i.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,512.0,0.0,0.0
r7i.24xlarge,Intel Xeon Scalable (Sapphire Rapids),96.0,768.0,0.0,0.0
r7i.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,64.0,0.0,0.0
r7i.48xlarge,Intel Xeon Scalable (Sapphire Rapids),192.0,1536.0,0.0,0.0
r7i.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,128.0,0.0,0.0
r7i.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,256.0,0.0,0.0
r7i.large,Intel Xeon Scalable (Sapphire Rapids),2.0,16.0,0.0,0.0
r7i.metal-24xl,Intel Xeon Scalable (Sapphire Rapids),96.0,768.0,0.0,0.0
r7i.metal-48xl,Intel Xeon Scalable (Sapphire Rapids),192.0,1536.0,0.0,0.0
r7i.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,32.0,0.0,0.0
r7iz.12xlarge,Intel Xeon Scalable (Sapphire Rapids),48.0,384.0,0.0,0.0
r7iz.16xlarge,Intel Xeon Scalable (Sapphire Rapids),64.0,512.0,0.0,0.0
r7iz.2xlarge,Intel Xeon Scalable (Sapphire Rapids),8.0,64.0,0.0,0.0
r7iz.32xlarge,Intel Xeon Scalable (Sapphire Rapids),128.0,1024.0,0.0,0.0
r7iz.4xlarge,Intel Xeon Scalable (Sapphire Rapids),16.0,128.0,0.0,0.0
r7iz.8xlarge,Intel Xeon Scalable (Sapphire Rapids),32.0,256.0,0.0,0.0
r7iz.large,Intel Xeon Scalable (Sapphire Rapids),2.0,16.0,0.0,0.0
r7iz.metal-16xl,Intel Xeon Scalable (Sapphire Rapids),64.0,512.0,0.0,0.0
r7iz.metal-32xl,Intel Xeon Scalable (Sapphire Rapids),128.0,1024.0,0.0,0.0
r7iz.xlarge,Intel Xeon Scalable (Sapphire Rapids),4.0,32.0,0.0,0.0
r8g.12xlarge,AWS Graviton4 Processor,48.0,384.0,0.0,0.0
r8g.16xlarge,AWS Graviton4 Processor,64.0,512.0,0.0,0.0
r8g.24xlarge,AWS Graviton4 Processor,96.0,768.0,0.0,0.0
r8g.2xlarge,AWS Graviton4 Processor,8.0,64.0,0.0,0.0
r8g.48xlarge,AWS Graviton4 Processor,192.0,1536.0,0.0,0.0
r8g.4xlarge,AWS Graviton4 Processor,16.0,128.0,0.0,0.0
r8g.8xlarge,AWS Graviton4 Processor,32.0,256.0,0.0,0.0
r8g.large,AWS Graviton4 Processor,2.0,16.0,0.0,0.0
r8g.medium,AWS Graviton4 Processor,1.0,8.0,0.0,0.0
r8g.metal-24xl,AWS Graviton4 Processor,96.0,768.0,0.0,0.0
r8g.metal-48xl,AWS Graviton4 Processor,192.0,1536.0,0.0,0.0
r8g.xlarge,AWS Graviton4 Processor,4.0,32.0,0.0,0.0
t1.micro,Variable,1.0,0.613,0.0,0.0
t2.2xlarge,Intel Xeon Family,8.0,32.0,0.0,0.0
t2.large,Intel Xeon Family,2.0,8.0,0.0,0.0
t2.medium,Intel Xeon Family,2.0,4.0,0.0,0.0
t2.micro,Intel Xeon Family,1.0,1.0,0.0,0.0
t2.nano,Intel Xeon Family,1.0,0.5,0.0,0.0
t2.small,Intel Xeon Family,1.0,2.0,0.0,0.0
t2.xlarge,Intel Xeon Family,4.0,16.0,0.0,0.0
t3.2xlarge,Intel Skylake E5 2686 v5,8.0,32.0,0.0,0.0
t3.large,Intel Skylake E5 2686 v5,2.0,8.0,0.0,0.0
t3.medium,Intel Skylake E5 2686 v5,2.0,4.0,0.0,0.0
t3.micro,Intel Skylake E5 2686 v5,2.0,1.0,0.0,0.0
t3.nano,Intel Skylake E5 2686 v5,2.0,0.5,0.0,0.0
t3.small,Intel Skylake E5 2686 v5,2.0,2.0,0.0,0.0
t3.xlarge,Intel Skylake E5 2686 v5,4.0,16.0,0.0,0.0
t3a.2xlarge,AMD EPYC 7571,8.0,32.0,0.0,0.0
t3a.large,AMD EPYC 7571,2.0,8.0,0.0,0.0
t3a.medium,AMD EPYC 7571,2.0,4.0,0.0,0.0
t3a.micro,AMD EPYC 7571,2.0,1.0,0.0,0.0
t3a.nano,AMD EPYC 7571,2.0,0.5,0.0,0.0
t3a.small,AMD EPYC 7571,2.0,2.0,0.0,0.0
t3a.xlarge,AMD EPYC 7571,4.0,16.0,0.0,0.0
t4g.2xlarge,AWS Graviton2 Processor,8.0,32.0,0.0,0.0
t4g.large,AWS Graviton2 Processor,2.0,8.0,0.0,0.0
t4g.medium,AWS Graviton2 Processor,2.0,4.0,0.0,0.0
t4g.micro,AWS Graviton2 Processor,2.0,1.0,0.0,0.0
t4g.nano,AWS Graviton2 Processor,2.0,0.5,0.0,0.0
t4g.small,AWS Graviton2 Processor,2.0,2.0,0.0,0.0
t4g.xlarge,AWS Graviton2 Processor,4.0,16.0,0.0,0.0
trn1.2xlarge,Intel Xeon Scalable (Icelake),8.0,32.0,0.0,32.0
trn1.32xlarge,Intel Xeon Scalable (Icelake),128.0,512.0,0.0,512.0
trn1n.32xlarge,Intel Xeon Scalable (Icelake),128.0,512.0,0.0,512.0
trn2.48xlarge,Intel Xeon Scalable (Sapphire Rapids),192.0,2048.0,0.0,1536.0
u-12tb1.112xlarge,Intel Xeon Scalable (Skylake),448.0,12288.0,0.0,0.0
u-12tb1.metal,Intel Xeon Scalable (Skylake),448.0,12288.0,0.0,0.0
u-18tb1.112xlarge,Intel Xeon Platinum 8280L (Cascade Lake),448.0,18432.0,0.0,0.0
u-18tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),448.0,18432.0,0.0,0.0
u-24tb1.112xlarge,Intel Xeon Platinum 8280L (Cascade Lake),448.0,24576.0,0.0,0.0
u-24tb1.metal,Intel Xeon Platinum 8280L (Cascade Lake),448.0,24576.0,0.0,0.0
u-3tb1.56xlarge,Intel Xeon Scalable (Skylake),224.0,3072.0,0.0,0.0
u-6tb1.112xlarge,Intel Xeon Scalable (Skylake),448.0,6144.0,0.0,0.0
