name,family,tdp,cores,threads,memory,embodied
Intel Xeon E5-2686 v4,Broadwell,145,18,36,256.0,1638.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,244.0,2167.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,8.0,43.4
Intel Xeon E5-2686 v4,Broadwell,145,18,36,30.0,166.3
Intel Xeon E5-2686 v4,Broadwell,145,18,36,61.0,336.2
Intel Xeon E5-2686 v4,Broadwell,145,18,36,61.0,322.2
Intel Xeon E5-2686 v4,Broadwell,145,18,36,122.0,620.6
Intel Xeon E5-2686 v4,Broadwell,145,18,36,203.0,1070.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,4.0,30.6
Intel Xeon E5-2686 v4,Broadwell,145,18,36,244.0,1182.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,31.0,272.7
Intel Xeon E5-2686 v4,Broadwell,145,18,36,61.0,541.7
Intel Xeon E5-2686 v4,Broadwell,145,18,36,14.0,79.5
Intel Xeon E5-2686 v4,Broadwell,145,18,36,12.0,64.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,50.0,264.4
Intel Xeon E5-2686 v4,Broadwell,145,18,36,488.0,2578.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,61.0,280.5
Intel Xeon E5-2686 v4,Broadwell,145,18,36,244.0,1122.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,15.0,134.5
Intel Xeon E5-2686 v4,Broadwell,145,18,36,256.0,1389.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,25.0,132.2
Intel Xeon E5-2686 v4,Broadwell,145,18,36,101.0,533.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,64.0,409.5
Intel Xeon E5-2686 v4,Broadwell,145,18,36,128.0,819.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,16.0,94.7
Intel Xeon E5-2686 v4,Broadwell,145,18,36,122.0,551.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,30.5,137.7
Intel Xeon E5-2686 v4,Broadwell,145,18,36,6.0,36.0
Intel Xeon E5-2686 v4,Broadwell,145,18,36,32.0,173.6
